company,total,positive,negative,neutral,suggestions,top_painpoint,positive_rate,negative_rate
RINGLE,5165,2461,1059,1645,972,튜터 품질,47.6%,20.5%
CAKE,1832,1310,315,207,241,가격/비용,71.5%,17.2%
HACKERS,2241,1669,293,279,271,가격/비용,74.5%,13.1%
MALHAE,1982,1487,274,221,173,가격/비용,75.0%,13.8%
MAXAI,1455,891,255,309,167,튜터 품질,61.2%,17.5%
PAGODA,625,146,191,288,78,예약/일정,23.4%,30.6%
SANTA,2409,1197,725,487,324,가격/비용,49.7%,30.1%
UPHONE,3701,2871,541,289,218,튜터 품질,77.6%,14.6%
YANADU,1956,786,844,326,228,사용성 불편,40.2%,43.1%
CARROT,1941,1657,158,126,113,튜터 품질,85.4%,8.1%
