company,keyword,tfidf_diff
ringle,링글,0.7873
ringle,주식,0.1283
ringle,화상영어,0.1
ringle,명문대,0.0866
ringle,튜터,0.0862
ringle,수업을,0.0775
ringle,블라인드,0.0724
ringle,연봉,0.0653
ringle,팔로우,0.0635
ringle,커리어,0.0624
ringle,블라블라,0.0595
ringle,캠블리,0.0554
ringle,북마크,0.0548
ringle,튜터가,0.0547
ringle,튜터를,0.0527
cake,케이크,0.5304
cake,모공,0.2124
cake,공감,0.107
cake,영어를,0.1062
cake,영상,0.1027
cake,표현,0.093
cake,자료,0.0897
cake,표현을,0.0895
cake,없음,0.0802
cake,유튜브,0.0662
cake,앱을,0.0649
cake,영상을,0.0649
cake,영어로,0.0647
cake,발음,0.0569
cake,학습할,0.0563
hackers,해커스,0.643
hackers,토익,0.4963
hackers,파트,0.0589
hackers,시험,0.0554
hackers,무료로,0.0442
hackers,강의를,0.0431
hackers,새해,0.0415
hackers,선생님의,0.038
hackers,실전,0.0371
hackers,강의,0.0366
hackers,교재,0.0365
hackers,시험을,0.0327
hackers,문법,0.0321
hackers,환급,0.032
hackers,풀고,0.0313
malhae,말해보카,0.6297
malhae,단어,0.2546
malhae,말해보카는,0.2449
malhae,단어를,0.1301
malhae,어휘,0.0915
malhae,발음,0.0883
malhae,스픽,0.0823
malhae,문법,0.0795
malhae,문장,0.0754
malhae,리스닝,0.0697
malhae,회화,0.0671
malhae,앱을,0.059
malhae,단어가,0.0578
malhae,복습,0.0551
malhae,듀오링고,0.054
maxai,맥스,0.651
maxai,스피킹맥스,0.4225
maxai,듀오링고,0.1484
maxai,영어회화,0.0887
maxai,대화,0.0794
maxai,학습을,0.0492
maxai,대화를,0.0477
maxai,원어민,0.0475
maxai,언어,0.0444
maxai,자연스럽게,0.0366
maxai,아이폰,0.0357
maxai,회화,0.0348
maxai,스마트,0.0336
maxai,문장을,0.0325
maxai,데이터,0.0321
pagoda,파고다,0.5283
pagoda,전조회수,0.351
pagoda,네이버,0.2094
pagoda,블로그,0.1837
pagoda,시간,0.1571
pagoda,만원,0.1513
pagoda,할인,0.1266
pagoda,천원,0.0991
pagoda,이상,0.0978
pagoda,학원,0.0848
pagoda,토익,0.0826
pagoda,혜택,0.0814
pagoda,인강,0.0661
pagoda,보세요,0.0637
pagoda,수강,0.0628
santa,산타토익,0.3437
santa,산타,0.3035
santa,토익,0.2508
santa,문제,0.2398
santa,뤼이드,0.2362
santa,문제를,0.1686
santa,파트,0.1145
santa,환급,0.1138
santa,데이터,0.0935
santa,점수,0.0866
santa,기반,0.0769
santa,점수가,0.076
santa,문제가,0.0711
santa,분석,0.0675
santa,에듀테크,0.0644
uphone,민병철유폰,0.4694
uphone,유폰,0.4537
uphone,민병철,0.3203
uphone,전화영어,0.2502
uphone,전조회수,0.1596
uphone,화상영어,0.1587
uphone,네이버,0.116
uphone,블로그,0.1091
uphone,수업을,0.0872
uphone,시간,0.0715
uphone,전화,0.0526
uphone,외국인,0.0391
uphone,예습,0.0384
uphone,수업이,0.0383
uphone,수강,0.0372
yanadu,야나두,0.5191
yanadu,시원스쿨,0.3879
yanadu,강의,0.3002
yanadu,야나두는,0.2045
yanadu,강의를,0.1379
yanadu,강의가,0.0726
yanadu,패키지,0.066
yanadu,하루,0.0622
yanadu,듣고,0.0435
yanadu,브랜드,0.0375
yanadu,만드는,0.0338
yanadu,온라인,0.0333
yanadu,아닌,0.0329
yanadu,공감,0.0318
yanadu,왕초보,0.0314
carrot,시즌,0.5013
carrot,수업을,0.1697
carrot,영어를,0.122
carrot,화상,0.0845
carrot,라고,0.0839
carrot,모두,0.0608
carrot,까지,0.0606
carrot,선생님이,0.0605
carrot,실력이,0.0563
carrot,시간이,0.0561
carrot,수업이,0.0547
carrot,보니,0.054
carrot,예습,0.0535
carrot,더욱,0.0525
carrot,전화영어,0.0524
