service,segment,count,percentage
ringle,직장인_업무,914,56.0
ringle,초보자_입문,674,41.3
ringle,고급자_원어민급,498,30.5
ringle,토익_시험준비,409,25.1
ringle,유학_교환학생,345,21.2
ringle,취업준비생,370,22.7
ringle,자기계발_취미,450,27.6
ringle,직장인_이직,429,26.3
cake,자기계발_취미,138,23.1
cake,초보자_입문,135,22.6
cake,직장인_업무,63,10.5
cake,고급자_원어민급,69,11.5
cake,토익_시험준비,38,6.4
cake,유학_교환학생,16,2.7
cake,취업준비생,19,3.2
cake,직장인_이직,12,2.0
hackers,취업준비생,43,5.9
hackers,토익_시험준비,367,50.3
hackers,자기계발_취미,58,8.0
hackers,초보자_입문,155,21.3
hackers,직장인_업무,58,8.0
hackers,직장인_이직,18,2.5
hackers,유학_교환학생,31,4.3
hackers,고급자_원어민급,30,4.1
malhae,직장인_업무,44,6.6
malhae,자기계발_취미,117,17.6
malhae,토익_시험준비,55,8.3
malhae,초보자_입문,139,20.9
malhae,유학_교환학생,17,2.6
malhae,취업준비생,11,1.7
malhae,고급자_원어민급,37,5.6
malhae,직장인_이직,5,0.8
maxai,직장인_업무,103,20.4
maxai,유학_교환학생,18,3.6
maxai,고급자_원어민급,91,18.0
maxai,초보자_입문,157,31.0
maxai,취업준비생,32,6.3
maxai,자기계발_취미,102,20.2
maxai,토익_시험준비,67,13.2
maxai,직장인_이직,15,3.0
pagoda,자기계발_취미,53,22.3
pagoda,취업준비생,39,16.4
pagoda,직장인_업무,68,28.6
pagoda,직장인_이직,16,6.7
pagoda,유학_교환학생,30,12.6
pagoda,토익_시험준비,98,41.2
pagoda,초보자_입문,78,32.8
pagoda,고급자_원어민급,33,13.9
santa,토익_시험준비,360,44.4
santa,자기계발_취미,52,6.4
santa,초보자_입문,161,19.9
santa,직장인_업무,80,9.9
santa,직장인_이직,15,1.9
santa,취업준비생,29,3.6
santa,고급자_원어민급,7,0.9
santa,유학_교환학생,26,3.2
uphone,토익_시험준비,41,3.3
uphone,초보자_입문,228,18.4
uphone,고급자_원어민급,72,5.8
uphone,자기계발_취미,105,8.5
uphone,직장인_업무,115,9.3
uphone,취업준비생,39,3.1
uphone,유학_교환학생,14,1.1
uphone,직장인_이직,11,0.9
yanadu,자기계발_취미,90,14.3
yanadu,초보자_입문,147,23.3
yanadu,고급자_원어민급,45,7.1
yanadu,직장인_업무,72,11.4
yanadu,유학_교환학생,13,2.1
yanadu,토익_시험준비,58,9.2
yanadu,직장인_이직,10,1.6
yanadu,취업준비생,21,3.3
carrot,취업준비생,15,2.7
carrot,직장인_업무,53,9.5
carrot,토익_시험준비,23,4.1
carrot,자기계발_취미,65,11.7
carrot,초보자_입문,112,20.1
carrot,고급자_원어민급,40,7.2
carrot,유학_교환학생,9,1.6
carrot,직장인_이직,8,1.4
