keyword,count
링글,3109
있다,2829
내가,1871
다른,1491
수업을,1489
다양한,1485
가장,1451
토익,1381
영어를,1339
시간,1267
다시,1248
작성일,1247
많은,1202
함께,1196
때문에,1165
바로,1161
제가,1150
후기,1097
더보기,1093
화상영어,1066
있어서,1062
아니라,1036
위한,1035
링글은,1033
저는,1008
계속,994
좋아요수,993
추천,986
댓글,977
대댓글,968
나는,959
있고,949
매일,949
기업,941
꾸준히,889
이렇게,849
어떻게,842
영어회화,836
튜터,833
메뉴,829
직접,827
회화,825
특히,823
도움이,822
한다,819
글로벌,777
있어,765
했다,763
하면,753
교육,743
영어로,734
미국,723
광고,716
실제,711
모든,711
이상,704
없이,700
있도록,700
원어민,690
단어,685
따라,683
지금,679
공부를,678
서비스를,678
새로운,677
있는데,672
주식,660
라는,657
여러,647
않고,644
검색,639
보고,623
대해,620
채널,614
보면,610
싶은,609
또한,608
열심히,603
스타트업,601
이번,600
정도,600
모두,599
강의,598
나의,595
직장인,594
만원,592
무료,575
같습니다,574
경우,574
사실,573
시간이,572
있다는,561
현재,560
같다,558
문제,552
전화영어,551
원하는,551
투자,549
해커스,542
물론,537
